Days since first case,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,e1_2_action,Number of Tweet,c7_2_action,c6_3_action,e2_2_action,e1_1_action,e2_1_action,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,c6_2_action,c1_3_action,c4_4_action,temperature,h2_2_action,c2_2_action,c8_4_action,c4_1_action,c2_3_action,c5_2_action,c5_1_action,c3_2_action,h3_1_action,h2_3_action,h2_1_action,c4_3_action,c8_3_action,h1_2_action,urbanPopulation,population_density,cvd_death_rate,gdp_per_capita,diabetes_prevalence,life_expectancy,aged_65_older_sum,clear-day,clear-night,cloudy,partly-cloudy-day,partly-cloudy-night,rain,wind-fog-snow
82,1,0,0,0,0,0,0,1,69,0,0,51,58,0,0,0,1,0,0,0,57,70,0,77.93,0,70,70,0,0,0,0,74,0,0,83,0,0,74,42.248,143.366,280.033,1429.813,6.15,61.04,4.364,0,0,1,0,0,0,0
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,33,24,77.79,0,0,24,0,24,0,0,24,0,5,0,0,0,33,70.786,98.567,227.376,9673.367,11.62,75,16.17296,0,0,0,0,1,0,0
33,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,37,33,83.89,13,0,0,0,33,11,0,33,14,0,0,0,34,34,94.859,304.128,310.496,23315.1805,21.52,80.07,15.044,1,0,0,0,0,0,0
154,0,1,0,0,0,0,0,4,0,0,94,63,0,0,0,1,0,0,0,0,0,0,0,82.09,3,0,0,0,0,0,0,0,155,0,0,0,76,135,91.698,347.778,79.37,39002.223,5.72,84.63,45.542,0,0,0,1,0,0,0
28,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,23,13,61.09,13,13,11,0,0,12,0,14,0,0,0,0,0,61,100,232.128,132.235,65530.537,15.84,75.49,3.459,1,0,0,0,0,0,0
12,0,1,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,51.53,10,0,0,0,0,0,0,0,0,0,0,0,43,13,56.031,119.309,559.812,15847.419,7.11,73,9.889,1,0,0,0,0,0,0
30,1,0,0,0,0,0,0,1,17,0,0,0,6,1,0,0,0,0,0,0,5,18,0,79.91,0,18,18,0,0,0,0,22,0,0,31,0,0,22,42.248,143.366,280.033,1429.813,6.15,61.04,4.364,0,0,0,0,1,0,0
105,0,0,0,0,1,0,0,0,0,0,0,77,0,0,0,0,1,0,0,0,0,109,0,85.7,0,54,0,0,0,0,66,105,0,57,0,36,0,106,94.859,304.128,310.496,23315.1805,21.52,80.07,15.044,0,0,0,0,0,1,0
23,0,1,0,0,0,0,0,2.923076923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62.87,0,0,0,0,0,0,0,0,0,0,36,0,0,21,20.153,204.43,260.797,2442.804,7.26,70.78,9.021,1,0,0,0,0,0,0
51,1,0,0,0,0,0,0,2.25,42,0,9,32,0,0,0,0,1,0,0,0,35,39,0,53.95,53,0,35,0,35,35,0,41,0,0,0,41,0,42,62.994,80.08,419.146,7485.013,7.14,76.68,10.978,0,0,1,0,0,0,0
